Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
55,TRUE,11/11/20 8:34,R_3M9ewT7KWFVgs64,51.53840637,-0.039001465,81,80,60,74,65,43,54,70,66,55
168,TRUE,11/11/20 9:39,R_2wTg7JxKtMmq5RX,51.49569702,-0.177200317,44,54,51,28,46,48,44,27,66,74
250,TRUE,11/11/20 9:39,R_2fDKx7Gy6blohUm,51.49569702,-0.177200317,100,68,100,17,40,45,70,29,60,60
232,TRUE,11/11/20 9:39,R_6qXwTXFaHFm2n4J,51.52679443,-0.18699646,15,100,100,20,66,93,70,45,62,66
205,TRUE,11/11/20 9:39,R_2YfXw6g4Cu9sRVJ,51.51449585,0.070602417,24,100,85,19,80,86,81,23,66,60
285,TRUE,11/11/20 9:41,R_p4OE9LW2ZFBivtf,34.10209656,-118.0474014,30,90,96,19,75,90,76,30,75,76
279,TRUE,11/11/20 9:41,R_3rTXxmG30pYdp2r,51.50770569,-0.119003296,40,60,25,25,40,45,80,40,40,80
357,TRUE,11/11/20 9:41,R_xlW2ARt6p6j5XFf,51.53289795,-0.005004883,40,100,80,20,80,92,80,47,75,76
330,TRUE,11/11/20 9:41,R_2f3O8xVyVem0Yj7,51.50419617,-0.219894409,20,92,86,6,41,46,83,44,80,76
1076,TRUE,11/11/20 9:41,R_DTtaJjbwDfJxhPH,51.56809998,-0.089401245,25,100,63,55,60,45,75,40,76,14
267,TRUE,11/11/20 9:41,R_1mQ72uaq4OYqeJm,22.27949524,114.1459961,25,100,100,20,33,45,80,30,75,75
418,TRUE,11/11/20 9:41,R_2S7tZRk3ilY76LU,51.53599548,-0.092498779,40,85,70,65,40,40,75,40,80,75
342,TRUE,11/11/20 9:41,R_2c748c5RRxnF8g4,37.98420715,23.73530579,50,100,85,20,45,45,80,40,66,83
238,TRUE,11/11/20 9:42,R_BMr35E7B58xUAwh,35.58189392,139.7662964,20,100,90,20,44,42,80,34,70,70
225,TRUE,11/11/20 9:42,R_YY4ogppOan3Znln,51.53599548,-0.092498779,19,34,34,15,29,40,73,39,24,30
362,TRUE,11/11/20 9:42,R_1MSRP04vxrHmRWg,51.60169983,-0.073196411,33,91,69,40,64,50,80,33,62,62
91,TRUE,11/11/20 9:44,R_2OGUoiZes96xZDl,51.49569702,-0.177200317,44,46,45,29,43,48,80,32,63,68
111,TRUE,11/11/20 9:44,R_2zjbS88Sr7KpdhD,51.5164032,-0.093002319,50,90,90,15,40,45,80,40,75,45
146,TRUE,11/11/20 9:44,R_2zDdijuPiLFyEAK,51.55059814,-0.187301636,32,65,41,19,40,46,84,31,72,61
658,TRUE,11/11/20 9:47,R_3iy5DfrFesqp5Rm,51.49639893,-0.122406006,25,20,50,20,42,46,80,35,65,65
196,TRUE,2/8/21 8:08,R_1q8LUm4ZxX6ZVz9,52.6493988,-1.120300293,29,92,80,22,65,87,77,30,59,81
1034,TRUE,2/12/21 14:16,R_3htjiYI9411LgV8,60.27450562,24.99780273,25,80,70,18,75,40,70,40,65,90
362,TRUE,2/13/21 14:22,R_24daB7n9OUajDSk,52.43969727,-1.725494385,15,90,72,19,35,45,76,31,65,59
451,TRUE,2/13/21 17:55,R_3Dd2SedNqtthtEo,51.55639648,0.071395874,60,90,0,15,40,45,85,40,60,60
214,TRUE,2/13/21 18:08,R_NY23UhKFWWAYhkR,51.61610413,-0.10369873,41,4,9,24,56,45,75,34,34,50
587,TRUE,2/14/21 1:00,R_3iPYo1vXnoLF6OI,51.667099,-0.063400269,25,35,80,15,30,45,75,25,30,40
1044,TRUE,2/14/21 9:06,R_1Q0eZFeL5zffD3X,-6.174102783,106.8295898,20,85,75,20,35,45,75,30,75,65
313,TRUE,2/14/21 12:10,R_3PpO27rYkkkJ1mj,51.53599548,-0.092498779,30,50,80,17,40,48,85,28,30,43
964,TRUE,2/14/21 14:21,R_2cdeskOZKm5f82V,51.50050354,-0.190505981,33,62,30,20,71,80,69,40,65,41
1125,TRUE,2/14/21 16:29,R_XNuZk6y1szsLk77,41.02049255,28.97529602,20,80,94,14,80,81,70,56,62,60
543,TRUE,2/14/21 16:59,R_sXu1wkZygt66ff3,22.19999695,113.5499878,14,60,50,14,40,35,70,14,30,59
482,TRUE,2/15/21 0:04,R_31nGr2w0VetjX4M,51.00059509,7.56930542,24,86,80,12,85,90,80,45,70,60
426,TRUE,2/15/21 9:02,R_1ocXS5o4ujokKK0,51.57449341,0.131195068,10,25,80,45,45,45,80,50,50,60
178,TRUE,2/25/21 16:54,R_2ruruL3KzaWs8mV,52.6493988,-1.120300293,82,72,60,63,58,58,64,63,58,53
58,TRUE,2/25/21 18:18,R_3Ny0JiHQi60FNc2,52.6493988,-1.120300293,33,50,41,43,18,54,36,34,41,30
119,TRUE,2/25/21 18:26,R_1BPcaY99Zz8cAst,52.6493988,-1.120300293,42,85,63,52,66,76,65,61,66,70
44,TRUE,2/25/21 18:27,R_xgxkrIZPnnD2YMx,52.6493988,-1.120300293,72,68,69,80,72,68,68,56,60,73
192,TRUE,2/26/21 8:21,R_doFKGoEI0HmO3gl,57.14529419,-2.094497681,19,16,30,22,34,46,75,44,93,82
482,TRUE,2/26/21 8:40,R_09ET5D7QU7QZsqZ,55.9631958,-3.254592896,34,75,34,16,40,46,80,28,57,77
116,TRUE,2/26/21 8:50,R_1luBLoWydCdCDBG,55.938797,-4.795898438,32,89,93,19,36,43,70,33,71,77
203,TRUE,2/26/21 8:53,R_1i8LvXmlZ6i07Tc,55.86489868,-4.311004639,30,50,100,15,40,45,80,33,71,66
201,TRUE,2/26/21 8:58,R_3GlVO3WqBKzk9fv,56.45970154,-2.977493286,20,40,50,15,40,45,80,30,60,60
383,TRUE,1/18/22 21:24,R_1Ehdd2iykJ9nZpq,51.36439514,-0.092300415,30,100,90,20,40,45,75,45,40,40
150,TRUE,2/18/22 9:53,R_22GnqVzprsytt8d,52.65130615,-1.087600708,40,55,98,61,70,62,62,49,74,58
528248,TRUE,2/23/22 16:40,R_1CEGMWbWus7SwQ4,48.21699524,16.39439392,25,43,100,14,40,46,85,39,68,74
246,TRUE,2/24/22 22:20,R_7PySX2bb00sdcml,51.51449585,0.070602417,65,0,10,15,35,45,70,50,25,15
1148,TRUE,2/26/22 15:14,R_22WwcpnvXstFdi4,51.5428009,-0.197799683,30,92,92,15,40,43,72,35,40,25
784,TRUE,2/26/22 21:10,R_2v040kCsZuOPzqK,51.51919556,0.463806152,25,40,15,15,37,45,40,30,10,15
294,TRUE,2/28/22 11:32,R_2aQacrg3KQVl1GH,51.55070496,-0.09979248,35,86,100,29,75,13,71,51,68,91
427,TRUE,2/28/22 21:30,R_1lfUjlHsCyTZl3L,51.65390015,-0.088806152,25,80,50,20,40,45,70,40,80,20
222,TRUE,3/1/22 10:56,R_1go5m0iXfnnfizl,51.50740051,-0.119598389,25,100,75,20,33,45,80,33,75,75
421,TRUE,3/1/22 13:24,R_3nq2V3v4CRXKE1V,51.60169983,-0.073196411,40,40,40,25,45,45,75,25,40,25
