Date,Q,R,F,N,A,E 
11/11/2020 08:33:39,Q1,Rank3,1,81,20,61
11/11/2020 08:33:39,Q3,Rank3,1,80,93,13
11/11/2020 08:33:39,Q4,Rank4,1,60,76,16
11/11/2020 08:33:39,Q5,Rank5,1,74,20,54
11/11/2020 08:33:39,Q6,Rank5,1,65,68,3
11/11/2020 08:33:39,Q7,Rank6,1,43,82,39
11/11/2020 08:33:39,Q8,Rank1,1,54,77,23
11/11/2020 08:33:39,Q9,Rank2,1,70,42,28
11/11/2020 08:33:39,Q10,Rank1,1,66,62,4
11/11/2020 08:33:39,Q11,Rank2,1,55,82,27
11/11/2020 09:36:18,Q1,Rank3,1,44,20,24
11/11/2020 09:36:18,Q3,Rank3,1,54,93,39
11/11/2020 09:36:18,Q4,Rank4,1,51,76,25
11/11/2020 09:36:18,Q5,Rank5,1,28,20,8
11/11/2020 09:36:18,Q6,Rank5,1,46,68,22
11/11/2020 09:36:18,Q7,Rank6,1,48,82,34
11/11/2020 09:36:18,Q8,Rank1,1,44,77,33
11/11/2020 09:36:18,Q9,Rank2,1,27,42,15
11/11/2020 09:36:18,Q10,Rank1,1,66,62,4
11/11/2020 09:36:18,Q11,Rank2,1,74,82,8
11/11/2020 09:35:08,Q1,Rank3,1,100,20,80
11/11/2020 09:35:08,Q3,Rank3,1,68,93,25
11/11/2020 09:35:08,Q4,Rank4,1,100,76,24
11/11/2020 09:35:08,Q5,Rank5,1,17,20,3
11/11/2020 09:35:08,Q6,Rank5,1,40,68,28
11/11/2020 09:35:08,Q7,Rank6,1,45,82,37
11/11/2020 09:35:08,Q8,Rank1,1,70,77,7
11/11/2020 09:35:08,Q9,Rank2,1,29,42,13
11/11/2020 09:35:08,Q10,Rank1,1,60,62,2
11/11/2020 09:35:08,Q11,Rank2,1,60,82,22
11/11/2020 09:35:28,Q1,Rank3,1,15,20,5
11/11/2020 09:35:28,Q3,Rank3,1,100,93,7
11/11/2020 09:35:28,Q4,Rank4,1,100,76,24
11/11/2020 09:35:28,Q5,Rank5,1,20,20,0
11/11/2020 09:35:28,Q6,Rank5,1,66,68,2
11/11/2020 09:35:28,Q7,Rank6,1,93,82,11
11/11/2020 09:35:28,Q8,Rank1,1,70,77,7
11/11/2020 09:35:28,Q9,Rank2,1,45,42,3
11/11/2020 09:35:28,Q10,Rank1,1,62,62,0
11/11/2020 09:35:28,Q11,Rank2,1,66,82,16
11/11/2020 09:36:31,Q1,Rank3,1,24,20,4
11/11/2020 09:36:31,Q3,Rank3,1,100,93,7
11/11/2020 09:36:31,Q4,Rank4,1,85,76,9
11/11/2020 09:36:31,Q5,Rank5,1,19,20,1
11/11/2020 09:36:31,Q6,Rank5,1,80,68,12
11/11/2020 09:36:31,Q7,Rank6,1,86,82,4
11/11/2020 09:36:31,Q8,Rank1,1,81,77,4
11/11/2020 09:36:31,Q9,Rank2,1,23,42,19
11/11/2020 09:36:31,Q10,Rank1,1,66,62,4
11/11/2020 09:36:31,Q11,Rank2,1,60,82,22
11/11/2020 09:36:25,Q1,Rank3,1,30,20,10
11/11/2020 09:36:25,Q3,Rank3,1,90,93,3
11/11/2020 09:36:25,Q4,Rank4,1,96,76,20
11/11/2020 09:36:25,Q5,Rank5,1,19,20,1
11/11/2020 09:36:25,Q6,Rank5,1,75,68,7
11/11/2020 09:36:25,Q7,Rank6,1,90,82,8
11/11/2020 09:36:25,Q8,Rank1,1,76,77,1
